,Depth,time,DTCO,Vp,Vs,RHOB,Ip,PHIT,Vp_bk,Vs_bk,rhob_bk,Ip_ups_Bks,Vp_MA,Vs_MA,RHOB_MA,Ip_ups MA,PHIT_MA,Rc,Rc_bks,Rc_MA
17,3127.3,3196,103.631,2941.2048518301,1612.9911407203,2.2018,6455.4838368185,0.2281,2812.5535662562,1491.37276432512,2.19102566807314,6160.39224812685,2814.57455818443,1498.31404162635,2.19102566807314,6173.99085090344,0.234076300984529,0.000292473508974,6.59516653417977E-05,6.78998945274214E-05
18,3133.1,3200,111.3165,2738.1385508887,1502.1985918367,2.1981,6003.9164005336,0.2304,2827.84664560915,1513.50995475856,2.19976019690577,6219.10027968746,2830.11786021925,1517.15183646657,2.19976019690577,6234.44978506379,0.231355836849508,4.51834758422009E-05,4.20045485739713E-05,4.39187236178001E-05
19,3138.5,3204,113.97295,2674.3200385894,1494.4600358586,2.19695,5875.418858083,0.22835,2836.43068070206,1506.70053962479,2.21183843178622,6272.27305941866,2839.05643919164,1508.78803896431,2.21183843178622,6290.80396681075,0.230295007032349,0.00040901623074,0.000102859332904,0.000102168223355
20,3144.2,3208,105.9561,2876.6636059805,1472.1680532592,2.24325,6432.86817497625,0.22495,2831.78141950044,1473.12824984758,2.21487095639944,6273.4677215628,2833.40110468833,1472.89631171024,2.21487095639944,6289.37536916342,0.232128164556962,-0.000464411271694,-1.00149074571498E-05,-9.68510577458189E-06
21,3149.9,3212,105.2791,2895.1632927365,1483.5958081449,2.23465,6454.2317024607,0.2325,2828.02053407336,1471.96735230334,2.21549701125176,6263.64089000212,2830.2534022343,1471.70669995124,2.21549701125176,6281.65177129678,0.232400492264416,0.000450687276938,8.94640735580427E-05,9.24318419372811E-05
22,3155.7,3216,105.77985,2881.4563677232,1432.1641713294,2.2155,6333.92928360045,0.23945,2862.48724055308,1453.50227407027,2.22646202531646,6370.88568252746,2861.74818034813,1454.80919477564,2.22646202531646,6380.82241630477,0.233096343178622,-0.000439978916755,1.67790209721137E-05,1.65040777920242E-05
23,3161.4,3220,110.4551,2759.4923185982,1493.3475482251,2.1903,6060.587092675,0.2378,2845.29671442407,1416.49572598738,2.23267194092827,6349.91991004365,2843.89053897009,1421.06128985539,2.23267194092827,6357.12099107699,0.233420534458509,0.000619347976588,1.58589559117195E-05,1.59641043458379E-05
24,3167,3224,105.563,2887.3753114254,1405.9008166494,2.2448,6458.4810965964,0.2329,2820.8650838438,1392.2757270885,2.23828656821378,6312.26149119802,2821.04150079013,1396.76976839058,2.23828656821378,6324.27696164844,0.233431082981716,0.000819082168304,-7.9288140209272E-06,-1.75065983228956E-05
25,3172.6,3228,109.0944,2793.913753675,1283.66432982665,2.28935,6371.7710887279,0.2308,2790.44978765384,1383.5588597438,2.24927390998594,6276.99461248357,2790.65988095087,1387.87723718962,2.24927390998594,6290.01074657687,0.231872890295359,-0.000333040074237,-0.00016510476353,-0.000143285257143
26,3178.2,3232,109.5733,2781.69955637,1366.5575393356,2.28,6329.6614152164,0.2337,2773.74601202704,1390.46984358411,2.24738255977497,6234.04578734235,2776.14206167519,1396.96557785506,2.24738255977497,6252.72325771368,0.232292545710267,0.001416447627352,-8.34093580214645E-05,-8.18557377892097E-05
27,3183.9,3236,112.16425,2717.44343541605,1387.9114211934,2.2379,6065.9335383323,0.23165,2748.59216752532,1405.27115163791,2.23805819268636,6147.97438604056,2749.9312694772,1413.88849978597,2.23805819268636,6164.81701401107,0.234933720112518,-0.000495790992759,-3.51152409446564E-05,-3.61392153783344E-05
28,3189.1,3240,114.6425,2658.6998713392,1528.2508296828,2.1846,5800.6833243285,0.241,2767.41871681912,1440.90984029604,2.22639381153305,6159.13979051088,2770.5054121159,1447.36318918936,2.22639381153305,6178.5549634032,0.236929676511955,4.34122980404032E-05,3.70198906277405E-06,4.11977824304861E-06
29,3194.6,3244,112.0582,2720.0151349924,1529.1808647698,2.1868,5983.7321450701,0.2495,2812.85520771906,1499.81561732764,2.21196835443038,6208.52122373931,2819.20770195999,1513.76671055248,2.21196835443038,6230.56167421668,0.239260548523207,-1.48070456746409E-05,1.6637722189807E-05,3.6452604794405E-05
30,3199,3248,106.02785,2874.7333297091,1409.2018846744,2.2437,6423.5146568162,0.238,2856.76173229768,1561.12480995249,2.19392950070323,6267.53393086902,2867.18867308776,1577.17903791164,2.19392950070323,6299.68886613348,0.242321905766526,-0.000405322953349,0.000246387734161,0.000241749088912
31,3204.7,3252,102.3121,2979.11987997615,1634.7539802069,2.15465,6430.56138237305,0.25355,2913.25880949367,1544.76317684599,2.21385759493671,6450.82284171096,2916.70886858653,1563.02779572348,2.21385759493671,6466.80922021953,0.24048470464135,0.00063144601671,0.000230863458916,0.000220333096194
32,3210.8,3256,97.90655,3113.1849941558,1765.9958177714,2.19355,6889.79482519175,0.24435,2967.61140426775,1501.80040525752,2.23997134317862,6647.3646737224,2966.2054890545,1522.9141534663,2.23997134317862,6651.89805256894,0.236595288326301,0.000449857808439,0.000301378351242,0.000286413829076
33,3216.9,3260,104.83285,2907.4856170831,1371.58287777365,2.31135,6672.3687614499,0.2292,3010.01922429004,1500.70536804537,2.2510367440225,6775.66393672618,3007.6729235782,1520.70512561965,2.2510367440225,6778.72454180752,0.232971694796062,-0.00034987539426,0.00012893800527,0.000116267416307
