twt,a,b,c,D,e,f,g
3232,6202.977051,6230.331543,6212.61084,6254.731934,6273.754395,6268.823242,6279.304688
3236,6235.033203,6264.374023,6281.418945,6275.290527,6285.430176,6297.175781,6298.953125
3240,6261.57373,6298.518066,6292.988281,6275.290527,6285.430176,6297.175781,6298.953125
3244,6275.96875,6298.518066,6292.988281,6264.168945,6280.577637,6296.217773,6292.609863
3248,6275.96875,6291.835938,6241.34668,6245.862305,6250.599609,6259.626465,6281.607422
3252,6269.547363,6237.832031,6233.063477,6219.570801,6240.268555,6259.626465,6261.31543
3256,6247.094238,6224.389648,6216.838379,6223.873535,6247.038086,6276.038574,6324.973145
3260,6243.812012,6231.728516,6253.643066,6230.026856,6365.774414,6398.505859,6324.973145
3264,6323.128906,6323.369629,6277.684082,6371.062988,6365.774414,6398.505859,6438.033691
3268,6322.378418,6323.369629,6364.574707,6362.446777,6421.574707,6418.95752,6399.010254
3272,6409.737793,6331.961426,6400.535645,6373.114258,6435.137695,6414.867188,6415.412109
3276,6505.457031,6589.099121,6548.057129,6568.837891,6554.222168,6572.666016,6559.522949
3280,6650.466797,6631.09375,6554.164551,6545.120117,6554.222168,6621.848633,6621.701172
3284,6650.466797,6631.393066,6639.411133,6628.519531,6723.782227,6590.995606,6633.970703
3288,6838.093262,6719.384766,6771.448242,6672.050781,6786.868652,6813.396484,6730.623535
3292,6837.001465,6965.90332,6888.497559,6946.126953,6803.713867,6811.241699,6924.052734
3296,7068.602539,7020.497559,6903.985352,6945.647461,7034.90332,6968.174316,6924.052734
3300,7104.117676,7033.369141,7174.956055,6957.699219,7054.935547,6970.089356,6944.974609
3304,7342.772949,7356.969238,7176.706055,7274.424805,7221.949707,7275.828125,7264.130371
3308,7341.936523,7373.900879,7326.40625,7274.424805,7285.14209,7303.754883,7322.480957
3312,7506.717773,7396.044434,7407.787598,7462.484863,7547.601074,7303.864746,7365.854492
3316,7717.921875,7678.90332,7705.993652,7500.547852,7547.601074,7793.041016,7593.282715
3320,7725.856934,7849.678223,7768.706055,7863.398926,7922.606934,7810.056641,7966.753418
3324,7944.470215,7849.678223,7772.204102,7976.150391,7922.606934,7965.480957,7966.753418
3328,7945.225586,7964.300781,8179.484863,8055.175293,8273.836914,8309.202148,8191.067871
3332,8184.567383,8263.671875,8181.296875,8330.503906,8345.108398,8309.202148,8354.001953
3336,8266.066406,8321.782227,8398.462891,8458.580078,8362.749023,8395.545898,8439.746094
3340,8390.395508,8467.319336,8510.392578,8539.996094,8586.763672,8556.229492,8530.723633
3344,8394.338867,8467.319336,8510.392578,8539.996094,8586.763672,8556.229492,8530.723633
3348,8374.03418,8443.506836,8476.466797,8509.433594,8561.044922,8532.091797,8504.96582
3352,8193.094727,8036.713379,8035.443359,7932.214844,7913.054688,7993.638672,8037.827637
3356,7973.356445,8030.706055,7919.008301,7917.270508,7900.254883,7908.263672,8024.780762
3360,7936.211426,7823.193848,7820.240723,7757.625977,7864.777344,7873.307617,7808.515137
3364,7936.680664,7866.467773,7846.974121,7812.085449,7747.717773,7900.923828,7812.338379
3368,7784.266113,7839.744629,7808.980469,7804.812988,7810.50293,7727.92627,7804.73877
3372,7784.266113,7813.736816,7799.67041,7804.812988,7810.50293,7704.563477,7667.447266
3376,7723.158203,7612.888672,7594.998047,7569.994141,7545.641113,7686.355469,7667.447266
