DEPTH,BS,BVW,CALIPER,DTCO,DTSM,GR,NPHI,PEF,RHOB,RT,PHIT,PHIE,KTIMUR,VCL,SW,VFeldes,VLIME,VPlagioclasa,VPirita,VSAND,VTOBA,Vp,Vs,Ip,Is,Poisson,K,MU,LAMBDA,Facies,PetroClasses,VSh_AAA,eF_AAA
3303.5,12.25,0.1538,11.6656,87.6733,172.6213,47.3891,0.3128,5.8756,2.2618,1.3949,0.2111,0.1606,4.5921,0.1911,0.8493,0.101,0.1787,0.1197,0,0.2755,0,3476.5430296339,1765.7148914995,7863.2450244259,3993.6939415935,0.3261853434,17.9346098603,7.0517248648,13.2334599504,2,1,0.128752476,2
3303.6,12.25,0.1514,11.5635,86.5379,170.2714,46.0445,0.3126,5.8824,2.2677,1.4278,0.2101,0.1582,4.3149,0.196,0.8438,0.096,0.1772,0.1112,0,0.2686,0,3522.1561882135,1790.0833610342,7987.1935880117,4059.3720378173,0.3258703542,18.4433242009,7.2666143411,13.5989146402,2,1,0.119236758,2
3303.7,12.25,0.147,11.377,85.3703,167.6668,43.7253,0.3106,5.8302,2.2745,1.5069,0.2083,0.1556,4.0415,0.199,0.8119,0.084,0.174,0.1138,0,0.2654,0,3570.3283226134,1817.8911984961,8120.7117697841,4134.7935309793,0.3250080573,18.9714675414,7.5166047676,13.9603976963,3,1,0.103817729,2
3303.8,12.25,0.1416,11.3237,84.2935,164.4061,41.8085,0.3021,5.7273,2.2879,1.6229,0.2035,0.1511,3.5659,0.1978,0.7918,0.0761,0.1681,0.124,0,0.2622,0,3615.9371719053,1853.9458085801,8272.9026556022,4241.6426154504,0.3216873048,19.4292621674,7.8637755484,14.1867451351,3,1,0.09196535,2
3303.9,12.25,0.1357,11.4702,83.3494,160.7048,40.4655,0.2884,5.5852,2.3071,1.7737,0.1959,0.1448,2.9355,0.1933,0.7825,0.0738,0.1602,0.142,0,0.2594,0,3656.8949506535,1896.6452775524,8436.8223406527,4375.7503198411,0.3160083823,19.7869114439,8.2992461799,14.2540806573,3,1,0.084111912,2
3304,12.25,0.1289,11.6109,82.8805,156.4083,39.8491,0.2726,5.4082,2.3285,1.9738,0.1873,0.1377,2.3144,0.1876,0.7631,0.0731,0.1508,0.1644,0,0.2561,0,3677.5839914093,1948.7456867698,8563.2543239966,4537.6543316435,0.3047905735,19.7017746072,8.8427343068,13.8066184026,3,2,0.080626397,2
3304.1,12.25,0.1215,11.5739,82.5279,152.2333,39.247,0.2584,5.2019,2.3529,2.2144,0.1787,0.1293,1.7195,0.1865,0.7449,0.0704,0.1407,0.1916,0,0.2552,0,3693.2964488373,2002.1900595993,8689.9572144693,4710.9529912312,0.2918967569,19.5182904537,9.4322232503,13.2301416202,3,2,0.077291943,2
3304.2,12.25,0.1155,11.5591,82.2736,148.6277,38.557,0.2466,4.9475,2.3716,2.4442,0.1717,0.1229,1.3499,0.1846,0.7275,0.0651,0.1293,0.2242,0,0.2525,0,3704.7120826122,2050.7617355311,8786.095175123,4863.5865319856,0.2790994154,19.2512100779,9.9740571572,12.6018386398,3,2,0.073554167,2
3304.3,12.25,0.1117,11.5102,82.0044,146.0902,37.7238,0.2404,4.6894,2.3811,2.6086,0.1681,0.1196,1.2043,0.1833,0.7083,0.0602,0.1185,0.2483,0,0.2538,0,3716.8737287268,2086.3822487751,8850.2480354713,4967.8847725583,0.2699789926,19.0753789445,10.3649066034,12.1654412089,3,2,0.069156649,2
3304.4,12.25,0.1097,11.4451,81.7376,144.8619,36.8361,0.2382,4.527,2.386,2.6967,0.1666,0.1179,1.1578,0.1841,0.6921,0.0544,0.1116,0.2205,0,0.2952,0,3729.0059898994,2104.0729135818,8897.4082918999,5020.3179718063,0.2664616297,19.094335399,10.563115062,12.052258691,2,2,0.06460731,2
3304.5,12.25,0.1086,11.4643,81.4818,144.062,35.8863,0.2425,4.546,2.3835,2.7337,0.1686,0.1187,1.2344,0.1887,0.6684,0.0471,0.1132,0.2098,0,0.3112,0,3740.7126499415,2115.7557162888,8915.9886011355,5042.9037497744,0.2648075409,19.1260814333,10.6695524353,12.0130464764,2,2,0.05989024,2
3304.6,12.25,0.1075,11.5132,81.2927,143.5851,35.589,0.2518,4.7599,2.3794,2.7464,0.1727,0.12,1.3301,0.1992,0.6428,0.0428,0.123,0.248,0,0.2669,0,3749.4141540384,2122.7829349981,8921.3560381191,5050.9497155346,0.2641198186,19.1537654536,10.7220698617,12.0057188792,2,2,0.058444941,2
3304.7,12.25,0.106,11.5517,81.1466,142.5996,35.5229,0.2666,5.0987,2.3745,2.7517,0.1787,0.1213,1.4184,0.2171,0.6144,0.0359,0.1374,0.2201,0,0.2752,0,3756.1647684561,2137.4534009913,8919.013242699,5075.3831006539,0.2605516202,19.0367568185,10.8483948698,11.804493572,2,2,0.058125593,2
3304.8,12.25,0.1048,11.4924,81.0703,141.3276,35.6606,0.2798,5.4176,2.3672,2.763,0.1843,0.1233,1.5325,0.2306,0.5914,0.0317,0.1512,0.1499,0,0.3292,0,3759.6999147653,2156.691262004,8899.9616382325,5105.3195554159,0.2547815096,18.7803875795,11.0105980749,11.4399888629,2,2,0.058791676,2
3304.9,12.25,0.1041,11.3992,81.098,139.6435,36.0402,0.2871,5.6136,2.3591,2.7847,0.1878,0.1257,1.6733,0.2348,0.5781,0.0325,0.1603,0.0483,0,0.4273,0,3758.4157439148,2182.7009492028,8866.4785814693,5149.2098092643,0.2455439486,18.3383325092,11.2391851383,10.845542417,2,2,0.060644203,2
3305,12.25,0.1044,11.5369,81.2062,138.2342,36.5118,0.2853,5.6398,2.3535,2.8021,0.188,0.1278,1.8105,0.2276,0.5799,0.0362,0.1613,0,0,0.4835,0,3753.4079910155,2204.9536221861,8833.6457068549,5189.358349815,0.2365224272,17.8998837322,11.4422944902,10.2716874054,2,2,0.062979459,2
3305.1,12.25,0.1055,11.7633,81.4725,137.1962,37.0413,0.2768,5.4746,2.3544,2.7956,0.1849,0.128,1.8491,0.2153,0.5975,0.0433,0.1544,0,0,0.5026,0,3741.1396483476,2221.6358762123,8808.1391880696,5230.6195069543,0.2276260797,17.4584361427,11.6205319515,9.7114148417,3,2,0.065646694,2
3305.2,12.25,0.107,11.9587,82.1672,137.2426,37.2649,0.2675,5.2071,2.3578,2.7612,0.1813,0.1272,1.8377,0.2044,0.6197,0.0487,0.1432,0,0,0.5256,0,3709.5093906084,2220.8847690149,8746.2812411765,5236.4021083833,0.2206470265,16.9384848145,11.6294456869,9.1855210232,3,2,0.066787612,2
3305.3,12.25,0.1083,11.9558,83.0855,138.5582,37.2034,0.2625,4.9026,2.3651,2.6979,0.1784,0.1247,1.7033,0.203,0.6431,0.048,0.1305,0,0,0.5421,0,3668.5101491837,2199.7976301655,8676.3933538343,5202.7413751045,0.2192719663,16.5694662138,11.4449781473,8.9394807822,3,2,0.066472938,2
3305.4,12.25,0.11,11.8344,84.1789,140.6982,36.4606,0.2667,4.6469,2.3647,2.595,0.18,0.1247,1.6904,0.2092,0.6541,0.0432,0.1201,0,0,0.5463,0,3620.8598591809,2166.3390149981,8562.247309005,5122.7418687659,0.2212374102,16.2059034868,11.0975955741,8.8075064374,2,2,0.062724102,2
3305.5,12.25,0.1124,11.7915,85.3328,144.0175,35.252,0.2817,4.4722,2.3499,2.4539,0.1873,0.1293,1.9514,0.2195,0.6465,0.0352,0.1132,0,0,0.5383,0,3571.8973243583,2116.4094641276,8393.6015225095,4973.3505997535,0.2294934438,15.946887783,10.5256462777,8.9297902645,2,2,0.056824313,2
3305.6,12.25,0.1151,11.7263,86.5191,147.2359,33.906,0.3043,4.3596,2.3255,2.3029,0.1983,0.1365,2.4647,0.2334,0.6256,0.0251,0.1094,0.0498,0,0.4681,0,3522.9215283099,2070.1472942401,8192.5540140848,4814.1275327553,0.2362914524,15.57378746,9.9659530861,8.9298187359,2,2,0.050534505,2
3305.7,12.25,0.1182,11.716,87.7013,150.3131,33.0793,0.3296,4.2646,2.2883,2.1718,0.2116,0.148,3.4835,0.2406,0.5914,0.0196,0.1078,0.0699,0,0.4302,0,3475.4330893613,2027.7673735689,7952.8335383854,4640.1400809377,0.2419388406,15.0940412803,9.4091246649,8.8212915037,2,2,0.046812446,2
3305.8,12.25,0.1211,11.7145,88.8919,152.668,33.3276,0.3534,4.1723,2.2495,2.0708,0.2244,0.1599,4.6895,0.2442,0.558,0.0188,0.1067,0.0698,0,0.4095,0,3428.8838465597,1996.4891136322,7713.274212836,4491.1022611156,0.2435447564,14.4926723224,8.9664367725,8.5150478074,2,2,0.047919335,2
