DEPTH,BS,BVW,CALIPER,DTCO,DTSM,GR,NPHI,RHOB,RT16_Rxo,RTD90_Rt,RTM30,RTM60,RTS20,HCGR,PHIT,PHIE,KTIMUR,VCL,SW,SW_PEMEX,TEMP,GAS_TOTAL,VALBITE,VLIME5,VORTHO,VPYRITE,VSAND,Facies,VSh_AAA,eF_AAA,Vp,Vs,VpVsratio,Ip,Is,Poisson,K,MU,LAMBDA,K_menos_MU,K_RHO,MU_RHO,LAMBDA_RHO,K_RHO_MU_RHO
3091.3,12.25,0.0516,13.2036,114.9931,201.1575,77.0994,0.2211,2.1444,6.2787,6.5713,6.5187,6.438,6.7499,48.6111,0.2491,0.215,17.2404,0.1362,0.2425,0.2398,47.4519,2465,0.0869,0.0316,0.1596,0.0001,0.3705,2,0.501858237,5,2650.593818,1515.230603,1.74930061,5683.933384,3249.260505,0.257287754,8.501293419,4.923378954,5.219040783,3.577914465,18.23017361,10.55769383,11.19171106,7.672479779
3091.45,12.25,0.0514,13.2036,114.2799,200.5229,76.4748,0.2222,2.1388,6.2811,6.6664,6.6045,6.4801,6.8989,48.8794,0.2432,0.21,13.3493,0.1325,0.2403,0.2449,47.4574,2465,0.1003,0.0383,0.1576,0.0001,0.3613,2,0.48949908,4,2667.135691,1520.025892,1.754664644,5704.469815,3251.031378,0.259482176,8.625725876,4.941651872,5.331291295,3.684074004,18.4487025,10.56920502,11.40256582,7.87949748
3091.6,12.25,0.0496,13.2005,112.6168,200.8155,74.8563,0.2257,2.1331,6.2797,6.6062,6.5879,6.3987,6.8583,48.1476,0.2414,0.2048,11.9924,0.1463,0.2316,0.242,47.463,2465,0.1142,0.0697,0.1296,0,0.3354,3,0.45867495,4,2706.523361,1517.811125,1.783175334,5773.284981,3237.642911,0.270612137,9.073356761,4.91413043,5.797269808,4.159226332,19.35437731,10.48233162,12.36615623,8.872045688
3091.75,12.25,0.0477,13.1741,112.7524,200.7847,72.3162,0.23,2.1339,6.2626,6.62,6.5787,6.3967,6.684,45.832,0.2436,0.2038,12.4301,0.1595,0.2233,0.2339,47.4685,2465,0.1204,0.1184,0.0943,0,0.3036,3,0.413610848,4,2703.2684,1518.043955,1.78075766,5768.50444,3239.353995,0.269701766,9.037173439,4.917481748,5.758852274,4.119691691,19.2844244,10.4934143,12.28881487,8.7910101
3091.9,12.25,0.0478,13.1386,111.9162,200.0451,70.8267,0.2326,2.139,6.1996,6.5045,6.492,6.3387,6.8472,46.9891,0.2396,0.1998,12.5033,0.1594,0.2282,0.2395,47.474,2465,0.1268,0.1465,0.0803,0,0.2872,4,0.388949919,4,2723.466308,1523.656415,1.787454363,5825.494432,3259.101073,0.272208851,9.244537469,4.965750258,5.934037297,4.278787211,19.77406565,10.6217398,12.69290578,9.152325844
3092.05,12.25,0.0474,13.0824,111.5386,199.522,70.303,0.2323,2.1487,6.0996,6.8453,6.8338,6.6428,7.1908,45.881,0.2246,0.1882,9.2209,0.1456,0.2309,0.252,47.4795,2465,0.1403,0.1551,0.0766,0,0.2941,4,0.380573439,4,2732.686263,1527.651086,1.78881571,5871.722973,3282.463889,0.272712979,9.359630675,5.014459525,6.016657659,4.34517115,20.11103843,10.77456918,12.92799231,9.336469251
3092.2,12.25,0.0499,13.0704,112.0608,199.2786,69.3816,0.2275,2.1668,6.0177,6.4474,6.4607,6.3083,6.8083,48.1168,0.1943,0.1602,3.7636,0.1365,0.2534,0.3116,47.485,2377.4697,0.1703,0.1478,0.0948,0.0029,0.2875,4,0.366195095,3,2719.952026,1529.516968,1.778307847,5893.59205,3314.157366,0.268773168,9.271541071,5.069059924,5.892167788,4.202481147,20.08957519,10.98363904,12.76714916,9.105936149
3092.35,12.25,0.0542,13.0725,112.0414,199.3575,67.8202,0.2177,2.191,5.9852,6.0638,6.0734,5.9886,6.3713,47.6647,0.166,0.134,1.1957,0.1281,0.2789,0.4048,47.4906,2112,0.1986,0.1458,0.1078,0.009,0.2767,3,0.342840483,3,2720.422987,1528.911629,1.779319966,5960.446763,3349.845378,0.269157561,9.386112981,5.121617553,5.971701279,4.264495428,20.56497354,11.22146406,13.0839975,9.343509483
3092.5,12.25,0.0535,13.1272,112.4737,199.6016,66.5594,0.2104,2.2065,5.9422,5.8864,5.9125,5.7909,6.0798,46.5487,0.1587,0.125,0.83,0.1346,0.2861,0.4282,47.4961,2112,0.2075,0.1388,0.0993,0.0143,0.2805,3,0.3248712,3,2709.966863,1527.041867,1.774651318,5979.541884,3369.41788,0.267375568,9.344037468,5.145242172,5.913876019,4.198795295,20.61761867,11.35297685,13.04896744,9.264641819
3092.65,12.25,0.0525,13.1655,112.8719,199.2399,66.1004,0.2076,2.2013,5.8676,5.8245,5.8334,5.7032,5.9736,46.0645,0.1736,0.1404,3.1772,0.1329,0.2876,0.3743,47.5016,2112,0.1944,0.1238,0.0913,0.0158,0.3013,3,0.318519385,3,2700.40639,1529.814058,1.765186021,5944.404586,3367.579687,0.263691891,9.183280466,5.151770747,5.748766634,4.031509719,20.21515529,11.34059295,12.65475999,8.874562343
3092.8,12.25,0.0538,13.1988,113.5097,199.4818,66.8847,0.2134,2.1749,5.7736,5.7826,5.7657,5.6446,5.9018,46.124,0.2032,0.1719,11.2816,0.1253,0.2833,0.3132,47.5071,2112,0.1743,0.1053,0.0872,0.0159,0.32,3,0.329433573,3,2685.233068,1527.958942,1.757398707,5840.1134,3323.157902,0.260588021,8.911867182,5.077648831,5.526767962,3.834218351,19.38241993,11.04337844,12.02016764,8.339041492
3092.95,12.25,0.0537,13.175,114.069,199.4676,69.2618,0.2242,2.1525,5.6348,5.7104,5.695,5.5866,5.8293,46.2177,0.2334,0.1986,29.9139,0.1395,0.2689,0.2706,47.5127,2058.4895,0.1508,0.0635,0.076,0.016,0.3555,4,0.36435869,3,2672.066907,1528.067716,1.748657392,5751.624017,3289.165759,0.257022378,8.667300183,5.02606801,5.316588176,3.641232173,18.65636364,10.81861139,11.44395605,7.837752252
3093.1,12.25,0.0547,13.1419,114.0083,199.3922,71.5489,0.2352,2.1437,5.4787,5.6446,5.627,5.5208,5.7492,47.0583,0.2449,0.2091,42.5816,0.1431,0.2657,0.2615,47.5182,1899,0.1323,0.0272,0.0768,0.012,0.3995,3,0.400750217,4,2673.489562,1528.645554,1.748927052,5731.159573,3276.957474,0.257133692,8.64312,5.009306472,5.303582351,3.633813527,18.52825634,10.73845028,11.36928949,7.789806059
3093.25,12.25,0.0557,13.1371,113.4484,198.7882,72.5828,0.2429,2.1412,5.3497,5.6017,5.5995,5.4874,5.7264,48.5172,0.2456,0.2107,48.0534,0.1396,0.2682,0.2643,47.5237,1899,0.1176,0.0256,0.0772,0.0036,0.4256,3,0.418158878,4,2686.68399,1533.290205,1.752234496,5752.72776,3283.080988,0.258492109,8.743873677,5.033915922,5.387929729,3.709957755,18.72238232,10.77862077,11.53663514,7.943761546
3093.4,12.25,0.0562,13.1369,112.878,197.7302,73.0673,0.2447,2.1417,5.236,5.5777,5.5667,5.4417,5.7148,48.0184,0.2443,0.2101,47.8164,0.1369,0.2707,0.2673,47.5292,1899,0.1136,0.0525,0.0763,0.0001,0.4106,3,0.426531042,4,2700.260458,1541.49442,1.751716012,5783.147823,3301.4186,0.258279996,8.830514258,5.08911835,5.437768691,3.741395908,18.91231239,10.89936477,11.64606921,8.012947615
3093.55,12.25,0.0555,13.1647,112.228,196.6843,74.296,0.2417,2.1445,5.1146,5.4775,5.4649,5.3261,5.6212,48.9782,0.2438,0.2078,46.3691,0.1444,0.2709,0.2672,47.5347,1899,0.1134,0.0724,0.0769,0,0.3853,4,0.448395462,4,2715.899775,1549.691562,1.752542146,5824.247068,3323.313554,0.258617823,8.951256678,5.150110971,5.517849364,3.801145707,19.19596995,11.04441298,11.83302796,8.151556969
3093.7,12.25,0.0582,13.1971,110.4802,196.5175,77.2969,0.2366,2.1478,4.9818,5.3764,5.3473,5.182,5.493,47.7626,0.2385,0.2063,47.512,0.1288,0.2846,0.2822,47.5403,1899,0.1172,0.0799,0.0735,0,0.3942,2,0.505821483,5,2758.865389,1551.006908,1.778757642,5925.491083,3331.252637,0.268944126,9.458571131,5.166795851,6.014040564,4.29177528,20.31511908,11.09724413,12.91695632,9.217874947
