,DEPTH,DTCO,Vp,Vs,RHOB,Ip,PHIT,well,Vp_bk,Vs_bk,rhob_bk,Ip_ups_Bks,Vp_MA,Vs_MA,RHOB_MA,Ip_ups_MA,PHIT_MA,Rc,Rc_bks,Rc_MA,TWT
52,3040.2,110.25,2764.62585,1322.798396,2.2987,6355.045442,0.2216,Lakach-1,2759.853713,1303.177139,2.173598805,5998.814732,2759.464638,1326.16252,2.173598805,6005.762003,0.250155063,0.001577406,4.37E-05,4.41E-05,3131.394008
53,3040.3,109.5059,2783.41167,1328.987092,2.2904,6375.126089,0.2245,Lakach-1,2759.360558,1303.490317,2.174177215,5999.338853,2758.979614,1326.432038,2.174177215,6006.292192,0.250013713,0.000991529,3.57E-05,3.69E-05,3131.465863
54,3040.4,108.8786,2799.448193,1332.347187,2.2818,6387.780886,0.2265,Lakach-1,2758.79221,1303.784804,2.174780591,5999.767751,2758.426138,1326.682316,2.174780591,6006.735255,0.24985654,0.001660747,3.44E-05,3.58E-05,3131.537305
55,3040.5,108.4272,2811.102749,1330.45069,2.2799,6409.033158,0.2274,Lakach-1,2758.155467,1304.067459,2.175432138,6000.180044,2757.810727,1326.92086,2.175432138,6007.165518,0.24968706,0.000527828,3.83E-05,3.96E-05,3131.608452
56,3040.6,108.3223,2813.825039,1317.211608,2.2801,6415.802471,0.2286,Lakach-1,2757.469163,1304.341884,2.176140295,6000.639759,2757.150385,1327.1516,2.176140295,6007.641773,0.249511955,-0.000309278,4.62E-05,4.71E-05,3131.679529
57,3040.7,108.4226,2811.222015,1300.245886,2.2808,6411.835171,0.2296,Lakach-1,2756.746457,1304.607569,2.176912096,6001.194706,2756.456876,1327.3743,2.176912096,6008.207682,0.249334388,-0.002470635,5.86E-05,5.86E-05,3131.750673
58,3040.8,108.8068,2801.295507,1279.504587,2.2776,6380.230647,0.2297,Lakach-1,2756.004964,1304.859938,2.177752813,6001.897563,2755.745884,1327.584598,2.177752813,6008.911851,0.249152602,-0.004886889,6.66E-05,6.61E-05,3131.822068
59,3040.9,109.4413,2785.054637,1259.415661,2.2686,6318.174949,0.2299,Lakach-1,2755.246861,1305.096057,2.178642053,6002.69668,2755.019747,1327.779129,2.178642053,6009.706369,0.248973629,-0.004497181,6.87E-05,6.81E-05,3131.89388
60,3041,110.1283,2767.680968,1241.94245,2.2624,6261.601423,0.2307,Lakach-1,2754.474001,1305.310145,2.179552743,6003.521363,2754.280239,1327.95151,2.179552743,6010.525157,0.248792897,-0.003452277,6.61E-05,6.58E-05,3131.966143
61,3041.1,110.8227,2750.339055,1229.765655,2.261,6218.516604,0.2333,Lakach-1,2753.687784,1305.499426,2.180463432,6004.315516,2753.528631,1328.09881,2.180463432,6011.315789,0.248611814,-0.000761211,5.90E-05,5.92E-05,3132.038861
